participant_id,well_being,intensity,companionship_prim,companionship_desc,companionship_chat,self_disclosure,social_network_scale,tenure_of_activity,donated,male,non_binary,age,single
p_32,2.666666667,0.197131936,0,0,,-0.624153504,-1.887094658,-0.462574528,0,0,0,40,1
p_221,3.0,-1.057411229,0,0,,-1.302763353,-0.369747453,0.896313241,0,0,0,26,1
p_1072,6.0,-0.769757376,0,0,,-1.642068278,1.147599753,-1.821462297,0,1,0,42,0
p_690,6.166666667,0.820161254,1,1,,-0.284848579,-0.875529854,0.896313241,0,1,0,38,1
p_916,6.166666667,0.548292871,0,0,,0.054456346,0.136034949,-0.462574528,0,1,0,38,1
p_732,5.166666667,-0.260558694,1,0,,-0.39795022,0.641817351,0.896313241,0,1,0,23,0
p_211,3.5,-1.01686142,0,0,,-0.39795022,-1.887094658,-0.462574528,0,1,0,22,1
p_175,1.0,-0.539854179,0,0,-1.412562001,-1.189661712,-1.381312256,-0.462574528,1,1,0,27,0
p_300,4.0,-0.856954766,0,0,,-0.39795022,0.641817351,-0.462574528,0,1,0,24,1
p_334,4.5,-0.01973876,0,0,1.439010739,-0.511051862,-0.369747453,0.896313241,1,0,0,42,1
p_765,6.166666667,0.943903642,0,1,,0.733066196,0.136034949,0.896313241,0,1,0,20,0
p_332,2.666666667,1.159166796,0,1,-0.522497846,1.524777687,-1.381312256,0.896313241,1,1,0,20,1
p_141,5.333333333,-0.396430926,0,1,,0.733066196,-0.369747453,-0.462574528,0,0,0,46,1
p_552,5.666666667,0.61652832,0,0,-1.080650695,-0.511051862,1.147599753,0.896313241,1,1,0,39,1
p_381,7.0,-0.177194632,0,1,0.291164974,1.185472762,1.147599753,-1.821462297,1,1,0,25,0
p_261,6.166666667,0.853131229,0,1,,0.280659629,-0.369747453,0.896313241,0,0,0,29,0
p_333,5.333333333,-0.093465175,0,1,-0.674669441,-0.963458428,1.653382155,-1.821462297,1,1,0,53,1
p_986,5.5,-0.130492639,0,0,,-0.737255145,0.136034949,0.896313241,0,0,0,19,1
p_362,5.333333333,-0.392540004,0,1,,0.959269479,-1.381312256,-1.821462297,0,0,0,31,0
